model,model_key,model_category,sample_size,prediction_type,nMSE_mean,nMSE_std,nRMSE_mean,nRMSE_std,nMAE_mean,nMAE_std,macro_R2_mean,macro_R2_std,fold_count
Random Forest,random_forest_regressor,Randomized tree ensembles,2400,raw,0.5745800738431808,0.0501865841029393,0.7574602234531602,0.0322893893072755,0.5322437487476549,0.0090226277612173,0.4330537677334226,0.0097383564412221,5
Random Forest,random_forest_regressor,Randomized tree ensembles,3350,raw,0.5563991230858396,0.0393757979990817,0.7455601512064376,0.025961125237395,0.5233199239515837,0.0080893080911795,0.4480139665851032,0.0085515524977423,5
Random Forest,random_forest_regressor,Randomized tree ensembles,4300,raw,0.5473073146325903,0.021629547212044,0.7396877985476238,0.0145462758275212,0.517747003726142,0.0064202826684054,0.4541347148972839,0.0069365996817906,5
Random Forest,random_forest_regressor,Randomized tree ensembles,5250,raw,0.5425850107214426,0.0178942760414576,0.7365247160041482,0.0120599251890061,0.5137744557433088,0.0073857572342957,0.4585408613054894,0.006204378825349,5
Random Forest,random_forest_regressor,Randomized tree ensembles,6200,raw,0.5368880749502424,0.021338395905101,0.7326120242842803,0.0144782951487518,0.5088760439631586,0.0071069037127161,0.4647094812853143,0.0070074401559959,5
Random Forest,random_forest_regressor,Randomized tree ensembles,7150,raw,0.5298167070416243,0.0156469307986757,0.7278220463546086,0.0107107353747519,0.5049712108338787,0.0057161849681029,0.4713337984965071,0.0071953979615036,5
Random Forest,random_forest_regressor,Randomized tree ensembles,8100,raw,0.5236651616461858,0.0104417336655425,0.7236184864141653,0.0071978960344669,0.5019567448139757,0.0049838588885072,0.4769707768590894,0.0042884096981266,5
Random Forest,random_forest_regressor,Randomized tree ensembles,9050,raw,0.5195670153644356,0.0048935167856382,0.7208035969557,0.0033893178075524,0.4991611192422335,0.0038129801186331,0.4806649660333615,0.0036117258558196,5
Random Forest,random_forest_regressor,Randomized tree ensembles,10000,raw,0.5161646249206794,0.0070908470045095,0.718432489967141,0.0049221794325727,0.4965562964781917,0.0034289074476385,0.4842021353118822,0.0044721999051814,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,500,raw,0.5058521676800749,0.0289263146617611,0.7109990985639527,0.0203853354559582,0.5120617245597967,0.0105768690955345,0.5057783464221919,0.013640410396556,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,1450,raw,0.4276413231034086,0.0351818361415228,0.6535052762526316,0.0267436210473713,0.4611655273278859,0.0094004789804327,0.5798063408421715,0.0130606321312136,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,2400,raw,0.4022176260429484,0.0487222787404388,0.6333339425337641,0.0371776693323299,0.4435330402949001,0.0126196097316947,0.6053039109176519,0.0095313142211537,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,3350,raw,0.3760428834874721,0.0328593467035543,0.6127729814215372,0.0262715798733305,0.4287151916717134,0.0078852265212824,0.6285485572960877,0.0073279017461068,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,4300,raw,0.360237535759804,0.0157162268358617,0.6000856154455843,0.0129802684437956,0.4184522566507346,0.0064773335637922,0.6414500335471841,0.0044321285197982,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,5250,raw,0.3502961660154001,0.0114023679061679,0.5917961762980962,0.0095819970747674,0.4115389341880912,0.0072595660087229,0.650782547706531,0.0034877579931576,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,6200,raw,0.3405798691547562,0.0141267116919872,0.5834931491331163,0.0120215467741818,0.4039383757396745,0.0081566040407371,0.6605952210151269,0.0044936381727287,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,7150,raw,0.3337542795074734,0.0082511137548215,0.5776796007270388,0.0071202537983486,0.3992471516350617,0.005817319323943,0.667215701621528,0.0016894208892377,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,8100,raw,0.3264654351125254,0.0058497678460582,0.5713531917828752,0.0051192470206154,0.3941412167029836,0.0050093149636253,0.6740880989181558,0.0008131905940921,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,9050,raw,0.3215485208168008,0.0031949299782516,0.5670468816221985,0.0028184347032748,0.3904577615887618,0.0045380884290748,0.6785507632329049,0.0017490131715976,5
Extra Trees,extra_trees_regressor,Randomized tree ensembles,10000,raw,0.3172427449018814,0.0061120137743887,0.5632222090621035,0.0054185008403726,0.3865522599753645,0.0045052059858738,0.6828501277449572,0.0020739340332838,5
SVR,svr_regressor,Kernel,500,raw,0.2619427374536633,0.0319174545571411,0.5110344011435466,0.0313563849462951,0.3233225285708805,0.0079323954897553,0.745322547770434,0.012655069423961,5
SVR,svr_regressor,Kernel,1450,raw,0.2063375122453959,0.0378178534845899,0.4527345812745554,0.0413659153704611,0.2781867966268962,0.0078039691209777,0.8000031451661721,0.0145752951086497,5
SVR,svr_regressor,Kernel,2400,raw,0.191076906020511,0.0475697608160665,0.4346983435436549,0.0514083667912335,0.2601681060258832,0.0075798980769127,0.8175418864890684,0.0101594303958418,5
SVR,svr_regressor,Kernel,3350,raw,0.1732006309803711,0.0347791424914864,0.4146148620923227,0.0402359775657203,0.2469435857676696,0.0068148320272639,0.831909338123775,0.0083686470784505,5
SVR,svr_regressor,Kernel,4300,raw,0.1625265462157687,0.016333571081811,0.4027395948880029,0.0202288446659708,0.2349732814038158,0.0024581266610289,0.8395273025827539,0.0022025233824866,5
SVR,svr_regressor,Kernel,5250,raw,0.1542712555213166,0.0141911693199377,0.3924418896579951,0.0180491953760652,0.2262612805908631,0.0035241534125045,0.8474583048373343,0.0025869870059949,5
SVR,svr_regressor,Kernel,6200,raw,0.1486869486766574,0.0154107507562887,0.3851874611468706,0.0199238692240442,0.2177298079855036,0.0046362525220586,0.8535684254711686,0.0034446256645148,5
SVR,svr_regressor,Kernel,7150,raw,0.1424851093804948,0.0120137104142851,0.3772051023240599,0.015867425799035,0.211585008483441,0.004214374342429,0.8592340756721434,0.0036409217393549,5
SVR,svr_regressor,Kernel,8100,raw,0.1376779723297314,0.0092379117484225,0.3708831271357321,0.0124337411783298,0.2058141273405575,0.0037873508153091,0.8633538752771672,0.0033341348429957,5
SVR,svr_regressor,Kernel,9050,raw,0.1353459950912243,0.0061383520250108,0.3678182829516384,0.0083445953866001,0.2017103029672169,0.0029703284044521,0.8649904446503991,0.0022639748586491,5
SVR,svr_regressor,Kernel,10000,raw,0.1327898378999893,0.0082251447071262,0.3642614546330732,0.0113704973828584,0.1980658576040091,0.0032262452053983,0.8676171747524986,0.0023814553919618,5
k-NN,knn_regressor,Instance based,500,raw,0.5591898787457866,0.0455399627039002,0.747295722124871,0.0303928947217584,0.5369937458365415,0.0109716914278052,0.453493417849733,0.012442736494448,5
k-NN,knn_regressor,Instance based,1450,raw,0.4759506403728121,0.0361495263417964,0.6894901481072038,0.0263148255722485,0.4890165064965656,0.0104424594236634,0.5300352849697896,0.0155803940148177,5
k-NN,knn_regressor,Instance based,2400,raw,0.4426006967302528,0.0473664866051779,0.6645573741613672,0.0347165878579933,0.4674283033007825,0.009894037520853,0.565363369060319,0.0074618049756751,5
k-NN,knn_regressor,Instance based,3350,raw,0.4196981730436712,0.0343073096933615,0.647423789920748,0.0259954151805278,0.4559436678611324,0.0060604552969279,0.5846660185090278,0.0047087292863473,5
k-NN,knn_regressor,Instance based,4300,raw,0.4081822937433583,0.0123701680100351,0.6388333885874091,0.0096303796191167,0.4470341007450599,0.0054833064481337,0.5937206105713361,0.005986222027328,5
k-NN,knn_regressor,Instance based,5250,raw,0.3997686008504882,0.0107410033473461,0.6322270964548297,0.0084778652076915,0.4413991310162283,0.0046029464946997,0.6015032734366784,0.0030703571899867,5
k-NN,knn_regressor,Instance based,6200,raw,0.3928079634997625,0.0142108283278803,0.626663591231831,0.0112197885556746,0.4353562844362914,0.0070261600612943,0.6091669817111776,0.0025524250257465,5
k-NN,knn_regressor,Instance based,7150,raw,0.3833123595104201,0.0102669231538938,0.6190784599779798,0.0082325498565959,0.4302758005910396,0.0054235307553855,0.617940276599009,0.0027740682578776,5
k-NN,knn_regressor,Instance based,8100,raw,0.3778919796492972,0.0076686286021518,0.6147039747995917,0.0062252524928819,0.4260412943140418,0.0052001883150137,0.6230342984383404,0.0017662163054766,5
k-NN,knn_regressor,Instance based,9050,raw,0.3748027360592416,0.0072663918873606,0.6121881159783197,0.0059630858367367,0.4227354617457722,0.0049686210359334,0.6256640773014953,0.0020803698085987,5
k-NN,knn_regressor,Instance based,10000,raw,0.3682847177865002,0.0089958412158035,0.6068283952007949,0.0074175943310463,0.4186374641790508,0.0052070835882503,0.632046045545086,0.0014035444053605,5
PLS,pls_regressor,Interpretable models,500,raw,0.554262443825135,0.048883827591995,0.7439150472321538,0.0326505422374032,0.5464784863879514,0.0161457862427709,0.4504246977199871,0.0116719794741465,5
PLS,pls_regressor,Interpretable models,1450,raw,0.5340067602170342,0.039251460406163,0.7303652805825218,0.0267702525354225,0.5374844247852552,0.0100962445697767,0.4695148747471047,0.013618766779262,5
