regime,model_key,component,projected,raw,delta_component_nRMSE
severe,adaboost_regressor,S_I,2.327082795851384e-13,0.087876559798522,-0.0878765597982893
severe,adaboost_regressor,S_N2,0.9653811692587898,0.9788086041402192,-0.01342743488142939
severe,adaboost_regressor,S_NH4,0.7307712191852308,1.0735250737534303,-0.3427538545681995
severe,adaboost_regressor,S_NO2,1.4071861107402868,1.4377605712188792,-0.03057446047859247
severe,adaboost_regressor,S_NO3,0.9826208545928552,1.0757115090857627,-0.09309065449290754
severe,adaboost_regressor,S_O,1.0077142979022922,0.9991551982069652,0.008559099695326977
severe,adaboost_regressor,S_PO4,0.5548060266181255,0.6268007326487737,-0.07199470603064817
severe,adaboost_regressor,X_AOB,0.79624942639164,0.8042301056173908,-0.007980679225750853
severe,adaboost_regressor,X_H,1.385510352207832,0.8609952459997658,0.5245151062080662
severe,adaboost_regressor,X_I,0.2857685346171483,0.2482092421231314,0.037559292494016905
severe,adaboost_regressor,X_MeOH,0.7527322970349697,0.771147214515267,-0.018414917480297333
severe,adaboost_regressor,X_MeP,0.4498415754865691,0.5729685160314356,-0.1231269405448665
severe,adaboost_regressor,X_NOB,0.4750954581705638,0.4811708219739495,-0.006075363803385692
severe,adaboost_regressor,X_PAO,0.2949405997114419,0.2908906637405486,0.004049935970893259
severe,adaboost_regressor,X_PHA,0.7871587392757258,0.7858988890949623,0.0012598501807634666
severe,adaboost_regressor,X_PP,0.7152249119506321,0.6572280371965914,0.057996874754040695
severe,adaboost_regressor,X_S,1.187153104104842,1.172073856439008,0.015079247665833906
severe,ann_deep_regressor,S_A,0.1774689112583518,0.1972246390579003,-0.01975572779954851
severe,ann_deep_regressor,S_ALK,0.0099501894925387,0.1346181215578729,-0.12466793206533419
severe,ann_deep_regressor,S_F,1.9646780021513737,1.966525384731096,-0.0018473825797222787
severe,ann_deep_regressor,S_I,2.164127973866799e-13,0.1405544466477127,-0.14055444664749628
severe,ann_deep_regressor,S_N2,0.3576154282852378,0.3540917063872389,0.003523721897998877
severe,ann_deep_regressor,S_NH4,0.2996924975739232,0.4274666464311743,-0.12777414885725114
severe,ann_deep_regressor,S_NO2,0.5179783788680349,0.520091143781264,-0.0021127649132290927
severe,ann_deep_regressor,S_NO3,0.2975881708941718,0.4353198199862764,-0.1377316490921046
severe,ann_deep_regressor,S_O,0.2749128813294215,0.2761007282056787,-0.0011878468762572258
severe,ann_deep_regressor,S_PO4,0.2519483742022566,0.2698203013955415,-0.017871927193284898
severe,ann_deep_regressor,X_AOB,0.2437096085003367,0.2447875843607908,-0.001077975860454078
severe,ann_deep_regressor,X_H,0.3748163713041802,0.2581074401631629,0.11670893114101732
severe,ann_deep_regressor,X_I,0.1303645072130847,0.1286485682384137,0.0017159389746710108
severe,ann_deep_regressor,X_MeOH,0.373950545644136,0.383964418601686,-0.010013872957550018
severe,ann_deep_regressor,X_MeP,0.2234771953713678,0.2489458936588027,-0.02546869828743492
severe,ann_deep_regressor,X_NOB,0.2246282583365672,0.2251937925162843,-0.0005655341797171087
severe,ann_deep_regressor,X_PAO,0.1980360525830511,0.1968871697327102,0.0011488828503408988
severe,ann_deep_regressor,X_PHA,0.3277182884858877,0.3501974692642801,-0.022479180778392394
severe,ann_deep_regressor,X_PP,0.3122838540826933,0.3149944524525269,-0.002710598369833561
severe,ann_deep_regressor,X_S,0.3419983254541608,0.3420313855459871,-3.306009182629799e-05
severe,catboost_regressor,S_A,0.282489884985374,0.2836208049924599,-0.0011309200070859227
severe,catboost_regressor,S_ALK,0.0150961038225774,0.0247280050232723,-0.009631901200694902
severe,catboost_regressor,S_F,2.8653569681997317,2.865357029934127,-6.173439537349168e-08
severe,catboost_regressor,S_I,2.1863062418920617e-13,0.0064511103388511,-0.00645111033863247
