model_key,component,outer_fold,nRMSE_component_projected,nRMSE_component_raw,R2_projected,R2_raw,delta
adaboost_regressor,X_PP,1,0.647255384753997,0.6343893872969627,0.5911538554734193,0.6072462137804051,0.012865997457034317
adaboost_regressor,X_PP,2,0.652149317560039,0.6402062280582782,0.5949903080150416,0.6096887067790809,0.011943089501760817
adaboost_regressor,X_PP,3,0.6439226742558587,0.6295692247589683,0.5768234255519569,0.5954789153044777,0.014353449496890436
adaboost_regressor,X_PP,4,0.6403086195925128,0.622200546635735,0.5873094875625035,0.6103213921103394,0.018108072956777854
adaboost_regressor,X_S,0,0.3834034366229853,0.3633875389089386,0.8458265458449249,0.8615038626311019,0.020015897714046715
adaboost_regressor,X_S,1,0.4024315126766526,0.4005005869376032,0.8509690404122761,0.8523957544283179,0.001930925739049405
adaboost_regressor,X_S,2,0.4001394069274527,0.3850120437388346,0.8505400234124217,0.8616271481329424,0.015127363188618126
adaboost_regressor,X_S,3,0.3814299069705681,0.3689601967874606,0.8489395659121073,0.8586550557557048,0.012469710183107496
adaboost_regressor,X_S,4,0.3742098909116145,0.3553214924258883,0.8487294145050281,0.8636149025709607,0.01888839848572621
ann_deep_regressor,S_A,0,0.1017031415208876,0.1034495200047145,0.9885910283444572,0.988195849858854,-0.001746378483826902
ann_deep_regressor,S_A,1,0.098041935870584,0.1030958093414196,0.9893383655107468,0.9882108618108192,-0.005053873470835593
ann_deep_regressor,S_A,2,0.1186431814726577,0.123624595652598,0.9887628154179128,0.9877993852219776,-0.004981414179940288
ann_deep_regressor,S_A,3,0.1073236199319538,0.1094320091010341,0.9892244150955456,0.988796880375778,-0.0021083891690802936
ann_deep_regressor,S_A,4,0.1019358462749315,0.1044017399143381,0.9882792548935824,0.9877053313486386,-0.002465893639406594
ann_deep_regressor,S_ALK,0,0.0021164508927547,0.0525629412338173,0.9999955134358368,0.997232696398278,-0.0504464903410626
ann_deep_regressor,S_ALK,1,0.0019290251691239,0.0508345459594167,0.9999963491603152,0.9974646678004736,-0.0489055207902928
ann_deep_regressor,S_ALK,2,0.0019539782528117,0.0832556985401487,0.9999963561112593,0.9933846383005932,-0.08130172028733701
ann_deep_regressor,S_ALK,3,0.0019896254735701,0.0733494728866196,0.9999958220303764,0.9943217225748128,-0.0713598474130495
ann_deep_regressor,S_ALK,4,0.0020931511984294,0.0551241484283157,0.9999955549801512,0.9969171223435136,-0.0530309972298863
ann_deep_regressor,S_F,0,0.3238163115213852,0.3244366229478579,0.8692943760472279,0.8687931298347229,-0.0006203114264727305
ann_deep_regressor,S_F,1,0.5182203552652919,0.5191745097359597,0.770264625545173,0.7694178628419955,-0.0009541544706678229
ann_deep_regressor,S_F,2,0.5085592533957645,0.5090442113615237,0.7217587760548654,0.721227865905637,-0.0004849579657592029
ann_deep_regressor,S_F,3,0.4169097914299465,0.4175187322882864,0.800642997351278,0.8000602080615424,-0.0006089408583399014
ann_deep_regressor,S_F,4,0.4933294567278682,0.4934371992191158,0.8062657222005413,0.8061810903472909,-0.00010774249124756441
ann_deep_regressor,S_I,0,1.4854985295532061e-13,0.0566662895995794,1.0,0.996689691995519,-0.056666289599430854
ann_deep_regressor,S_I,1,1.4934995204934833e-13,0.0509398440122305,1.0,0.9975218886557264,-0.05093984401208115
ann_deep_regressor,S_I,2,1.5025534895476422e-13,0.0557030876996272,1.0,0.997000519311002,-0.05570308769947695
ann_deep_regressor,S_I,3,1.4975113051227956e-13,0.07612365961064,1.0,0.994025336248082,-0.07612365961049024
ann_deep_regressor,S_I,4,1.4740649732081132e-13,0.0555288051468711,1.0,0.9968471387183514,-0.05552880514672369
ann_deep_regressor,S_N2,0,0.1250941526383062,0.1258079043210227,0.9855656186504108,0.9854004317809952,-0.0007137516827165069
ann_deep_regressor,S_N2,1,0.125062446456,0.1271586828949552,0.9833280510160244,0.9827644727135126,-0.002096236438955179
ann_deep_regressor,S_N2,2,0.1152615160845388,0.1153395147062004,0.9867195558867896,0.9867015757862624,-7.799862166159299e-05
ann_deep_regressor,S_N2,3,0.1437354206295653,0.1444814206078808,0.9780612271385944,0.9778329076976886,-0.0007459999783155091
ann_deep_regressor,S_N2,4,0.1359755233330128,0.135808170169532,0.982170417898336,0.9822142787447936,0.00016735316348079343
ann_deep_regressor,S_NH4,0,0.0708390115609301,0.0752054261897074,0.9949576299624272,0.9943168635742208,-0.004366414628777293
ann_deep_regressor,S_NH4,1,0.0689852699573919,0.0749944418176816,0.9953214132130124,0.9944708279021836,-0.006009171860289694
ann_deep_regressor,S_NH4,2,0.0651891679270264,0.0782534136070934,0.9959693818420908,0.994191989874732,-0.013064245680066991
ann_deep_regressor,S_NH4,3,0.0740617839277936,0.088384861216204,0.9945688403078816,0.9922650055974208,-0.014323077288410396
ann_deep_regressor,S_NH4,4,0.0706257829288687,0.0773668130250929,0.994591263701644,0.9935094922604588,-0.006741030096224204
ann_deep_regressor,S_NO2,0,0.1452358431489047,0.1512863566658507,0.9764965112208368,0.974497412871675,-0.006050513516945993
ann_deep_regressor,S_NO2,1,0.1367952449430802,0.1447023713090026,0.9809012187284468,0.9786294869503798,-0.00790712636592239
ann_deep_regressor,S_NO2,2,0.1382246692200772,0.1484033782940221,0.9822354888355276,0.9795228402903376,-0.010178709073944886
